,slope,offset
-10,0.2514753973628667,0.047465920610585424
-9,0.2467066780860508,0.046376068603306536
-8,0.24202237825654546,0.04523414336514062
-7,0.2373889935552128,0.04406264169407032
-6,0.23277409384286044,0.042885301394440745
-5,0.2281768386928062,0.04170081779701975
-4,0.22359993078865406,0.040507348499998756
-3,0.21904393780419062,0.0393049254633848
-2,0.2145123901760269,0.038093374383691224
-1,0.21000320440637657,0.036874719813637796
0,0.20551287772920454,0.035649538050854086
1,0.20103758057622914,0.03442161409493974
2,0.19658786890159344,0.03318480596512727
3,0.19216390349494594,0.031939464477977984
4,0.18775806141243687,0.030689294100602258
5,0.18337221719056557,0.029433552146105962
6,0.17903208650292057,0.028157582916574646
7,0.17470463452900237,0.02688263367167814
8,0.17048685743587452,0.025545419256832468
9,0.1663059406290256,0.02419330976026105
10,0.16213264579147624,0.022845777978628613
11,0.15796990114171103,0.02150051783028696
12,0.1538175277169986,0.020158245387420278
13,0.14967395822141574,0.01882136291958618
14,0.14554286452247295,0.017486475612832945
15,0.14142250383812638,0.01615525312325488
16,0.13731423432157253,0.014826620250179971
17,0.13321734077617234,0.013501563990726533
18,0.12913109223577152,0.012182404004897028
19,0.12505576707747823,0.01086749662234873
20,0.12099133338489505,0.00955693776132666
